"nrounds","eta","max_depth","colsample_bytree","min_child_weight","rmse_xgb_train","rmse_xgb_test"
1000,0.001,8,0.5,5,4.44270167272505,4.42295368588529
1200,0.001,8,0.5,5,3.64161784452805,3.62255451514811
1500,0.001,8,0.5,5,2.70416707652687,2.68608941710603
800,0.005,8,0.5,5,0.251568938382839,0.259457286214719
1000,0.005,8,0.5,5,0.119241201717445,0.156359341624195
1200,0.005,8,0.5,5,0.0740697140032061,0.133271161989536
1500,0.005,8,0.5,5,0.0525525829168606,0.130633073465934
800,0.008,8,0.5,5,0.0658245011394329,0.131969028438146
1000,0.008,8,0.5,5,0.0491821191354098,0.130559323491791
1200,0.008,8,0.5,5,0.0391179709299101,0.128415215971319
1500,0.008,8,0.5,5,0.0306113413341011,0.128555115716986
800,0.01,8,0.5,5,0.0491207053086094,0.130759890250984
1000,0.01,8,0.5,5,0.0375620891126272,0.129435628151134
1200,0.01,8,0.5,5,0.0289017640703466,0.128171026691622
1500,0.01,8,0.5,5,0.0232683691830987,0.127838029892258
800,0.001,5,0.75,5,5.42102764896034,5.40047833049197
1000,0.001,5,0.75,5,4.44252860362233,4.42339003324909
1200,0.001,5,0.75,5,3.64146776725501,3.62304377315575
1500,0.001,5,0.75,5,2.70396809506011,2.68662850464585
800,0.005,5,0.75,5,0.252198955741494,0.259562565440578
1000,0.005,5,0.75,5,0.126529267902815,0.158257993752579
1200,0.005,5,0.75,5,0.0887921844985144,0.13796771207602
1500,0.005,5,0.75,5,0.0727267429962963,0.133976669115712
800,0.008,5,0.75,5,0.0817069961385139,0.134255466152286
1000,0.008,5,0.75,5,0.0691277932597657,0.132227810445266
1200,0.008,5,0.75,5,0.0618095151970053,0.131471395987629
1500,0.008,5,0.75,5,0.0524276364139454,0.131362388783138
800,0.01,5,0.75,5,0.0699505424243645,0.133032149481624
1000,0.01,5,0.75,5,0.0598178309303566,0.131530949721212
1200,0.01,5,0.75,5,0.0525725767728981,0.1304120075823
1500,0.01,5,0.75,5,0.0453111436712716,0.129220494899028
800,0.001,6,0.75,5,5.42102704609362,5.40051913621865
1000,0.001,6,0.75,5,4.44254128580954,4.42342425842682
1200,0.001,6,0.75,5,3.64148357623517,3.62307354643218
1500,0.001,6,0.75,5,2.70397984910959,2.686840732804
800,0.005,6,0.75,5,0.251074334347197,0.259516153258513
1000,0.005,6,0.75,5,0.122112562169632,0.157339870708838
1200,0.005,6,0.75,5,0.081849537391709,0.137464710170595
1500,0.005,6,0.75,5,0.0635100547108444,0.132802858453205
800,0.008,6,0.75,5,0.074304543798085,0.134961113769639
1000,0.008,6,0.75,5,0.0602359897418643,0.132414782987197
1200,0.008,6,0.75,5,0.0526306131157553,0.132085145242706
